"CountyState","lon","lat","CountryofBirth","MajorClassAdmission","Admissions"
"Ada County, Idaho",-116.2420304,43.478767,"Burma","RefugeeandAsyleeAdjustments","7"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference3rdSkilled","15"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Bhutan","RefugeeandAsyleeAdjustments","8"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference4th","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference1st","4"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","EmploymentPreference2nd","10"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Bangladesh","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","FamilyPreference1st","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Cambodia","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","DiversityProgram","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesSpouses","12"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","ImmediateRelativesSpouses","4"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","RefugeeandAsyleeAdjustments","6"
"Ada County, Idaho",-116.2420304,43.478767,"Pakistan","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Nepal","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","EmploymentPreference2nd","6"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Pakistan","RefugeeandAsyleeAdjustments","4"
"Ada County, Idaho",-116.2420304,43.478767,"Bangladesh","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesParents","11"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference4th","11"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","ImmediateRelativesSpouses","8"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","RefugeeandAsyleeAdjustments","4"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference1st","10"
"Ada County, Idaho",-116.2420304,43.478767,"India","EmploymentPreference2nd","4"
"Ada County, Idaho",-116.2420304,43.478767,"India","FamilyPreference3rd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference3rdSkilled","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference3rdSkilled","7"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"Malaysia","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","FamilyPreference4th","5"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesChildren","5"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesSpouses","16"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesParents","5"
"Ada County, Idaho",-116.2420304,43.478767,"Singapore","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, North","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","EmploymentPreference1st","4"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","FamilyPreference4th","D"
"Ada County, Idaho",-116.2420304,43.478767,"China, People's Republic","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Singapore","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"Singapore","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Japan","EmploymentPreference1st","D"
"Ada County, Idaho",-116.2420304,43.478767,"Philippines","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Sri Lanka","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Sri Lanka","RefugeeandAsyleeAdjustments","D"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","EmploymentPreference1st","4"
"Ada County, Idaho",-116.2420304,43.478767,"Indonesia","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesChildren","D"
"Ada County, Idaho",-116.2420304,43.478767,"India","ImmediateRelativesSpouses","5"
"Ada County, Idaho",-116.2420304,43.478767,"Taiwan","ImmediateRelativesSpouses","D"
"Ada County, Idaho",-116.2420304,43.478767,"Indonesia","EmploymentPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference2nd","D"
"Ada County, Idaho",-116.2420304,43.478767,"Korea, South","ImmediateRelativesParents","D"
"Ada County, Idaho",-116.2420304,43.478767,"Vietnam","FamilyPreference3rd","4"
"Ada County, Idaho",-116.2420304,43.478767,"Thailand","ImmediateRelativesSpouses","4"
"Adams County, Colorado",-104.1930918,39.8398269,"India","ImmediateRelativesSpouses","7"
"Adams County, Colorado",-104.1930918,39.8398269,"Korea, South","FamilyPreference4th","D"
"Adams County, Colorado",-104.1930918,39.8398269,"India","FamilyPreference2nd","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","ImmediateRelativesSpouses","23"
"Adams County, Colorado",-104.1930918,39.8398269,"Japan","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Korea, South","EmploymentPreference3rdSkilled","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Korea, South","ImmediateRelativesChildren","D"
"Adams County, Colorado",-104.1930918,39.8398269,"India","FamilyPreference4th","5"
"Adams County, Colorado",-104.1930918,39.8398269,"India","ImmediateRelativesParents","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","ImmediateRelativesChildren","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Malaysia","ImmediateRelativesParents","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Nepal","EmploymentPreference3rdSkilled","4"
"Adams County, Colorado",-104.1930918,39.8398269,"Nepal","FamilyPreference2nd","4"
"Adams County, Colorado",-104.1930918,39.8398269,"Nepal","FamilyPreference4th","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Nepal","ImmediateRelativesParents","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Nepal","ImmediateRelativesSpouses","5"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","FamilyPreference4th","12"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","ImmediateRelativesParents","5"
"Adams County, Colorado",-104.1930918,39.8398269,"Laos","ImmediateRelativesParents","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Hong Kong","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Malaysia","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Nepal","DiversityProgram","25"
"Adams County, Colorado",-104.1930918,39.8398269,"Philippines","ImmediateRelativesParents","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Nepal","EmploymentPreference2nd","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Taiwan","ImmediateRelativesChildren","D"
"Adams County, Colorado",-104.1930918,39.8398269,"China, People's Republic","EmploymentPreference2nd","D"
"Adams County, Colorado",-104.1930918,39.8398269,"China, People's Republic","FamilyPreference2nd","8"
"Adams County, Colorado",-104.1930918,39.8398269,"Thailand","ImmediateRelativesSpouses","7"
"Adams County, Colorado",-104.1930918,39.8398269,"Thailand","Other","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","FamilyPreference1st","7"
"Adams County, Colorado",-104.1930918,39.8398269,"Korea, South","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"China, People's Republic","RefugeeandAsyleeAdjustments","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Pakistan","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"India","EmploymentPreference1st","10"
"Adams County, Colorado",-104.1930918,39.8398269,"India","FamilyPreference1st","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Cambodia","EmploymentPreference4th","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Philippines","ImmediateRelativesChildren","6"
"Adams County, Colorado",-104.1930918,39.8398269,"Philippines","ImmediateRelativesSpouses","14"
"Adams County, Colorado",-104.1930918,39.8398269,"Taiwan","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"China, People's Republic","ImmediateRelativesSpouses","18"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","FamilyPreference3rd","4"
"Adams County, Colorado",-104.1930918,39.8398269,"China, People's Republic","EmploymentPreference1st","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Pakistan","FamilyPreference2nd","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Philippines","FamilyPreference2nd","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Burma","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Pakistan","ImmediateRelativesParents","D"
"Adams County, Colorado",-104.1930918,39.8398269,"China, People's Republic","ImmediateRelativesChildren","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Bangladesh","ImmediateRelativesSpouses","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Nepal","RefugeeandAsyleeAdjustments","D"
"Adams County, Colorado",-104.1930918,39.8398269,"Vietnam","FamilyPreference2nd","20"
"Adams County, Colorado",-104.1930918,39.8398269,"China, People's Republic","ImmediateRelativesParents","8"
"Adams County, Colorado",-104.1930918,39.8398269,"China, People's Republic","FamilyPreference4th","8"
"Alameda County, California",-121.7195459,37.6016892,"Burma","ImmediateRelativesSpouses","12"
"Alameda County, California",-121.7195459,37.6016892,"Burma","RefugeeandAsyleeAdjustments","10"
"Alameda County, California",-121.7195459,37.6016892,"Cambodia","EmploymentPreference4th","D"
"Alameda County, California",-121.7195459,37.6016892,"Cambodia","FamilyPreference2nd","4"
"Alameda County, California",-121.7195459,37.6016892,"Cambodia","FamilyPreference3rd","D"
"Alameda County, California",-121.7195459,37.6016892,"Cambodia","FamilyPreference4th","D"
"Alameda County, California",-121.7195459,37.6016892,"Cambodia","ImmediateRelativesParents","9"
"Alameda County, California",-121.7195459,37.6016892,"Burma","FamilyPreference4th","62"
"Alameda County, California",-121.7195459,37.6016892,"Burma","ImmediateRelativesParents","17"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","RefugeeandAsyleeAdjustments","D"
"Alameda County, California",-121.7195459,37.6016892,"Mongolia","DiversityProgram","8"
"Alameda County, California",-121.7195459,37.6016892,"Mongolia","EmploymentPreference3rdSkilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Mongolia","FamilyPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"Mongolia","ImmediateRelativesParents","9"
"Alameda County, California",-121.7195459,37.6016892,"Mongolia","ImmediateRelativesChildren","D"
"Alameda County, California",-121.7195459,37.6016892,"Mongolia","ImmediateRelativesSpouses","6"
"Alameda County, California",-121.7195459,37.6016892,"Burma","EmploymentPreference4th","6"
"Alameda County, California",-121.7195459,37.6016892,"Burma","FamilyPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Burma","FamilyPreference2nd","6"
"Alameda County, California",-121.7195459,37.6016892,"Burma","FamilyPreference3rd","4"
"Alameda County, California",-121.7195459,37.6016892,"Bangladesh","EmploymentPreference3rdSkilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Bangladesh","FamilyPreference4th","10"
"Alameda County, California",-121.7195459,37.6016892,"Bangladesh","ImmediateRelativesParents","D"
"Alameda County, California",-121.7195459,37.6016892,"Bangladesh","ImmediateRelativesChildren","D"
"Alameda County, California",-121.7195459,37.6016892,"Bangladesh","ImmediateRelativesSpouses","D"
"Alameda County, California",-121.7195459,37.6016892,"Bhutan","ImmediateRelativesSpouses","D"
"Alameda County, California",-121.7195459,37.6016892,"Bhutan","RefugeeandAsyleeAdjustments","D"
"Alameda County, California",-121.7195459,37.6016892,"Brunei","FamilyPreference4th","D"
"Alameda County, California",-121.7195459,37.6016892,"Burma","DiversityProgram","6"
"Alameda County, California",-121.7195459,37.6016892,"Mongolia","Other","4"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","EmploymentPreference3rdSkilled","9"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","FamilyPreference2nd","7"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","FamilyPreference3rd","D"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","FamilyPreference4th","22"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","ImmediateRelativesParents","43"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","ImmediateRelativesChildren","5"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","ImmediateRelativesSpouses","28"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","RefugeeandAsyleeAdjustments","14"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","EmploymentPreference1st","23"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","EmploymentPreference2nd","21"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","EmploymentPreference3rdSkilled","27"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","EmploymentPreference3rdUnskilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","FamilyPreference1st","77"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","FamilyPreference2nd","267"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","FamilyPreference3rd","59"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","FamilyPreference4th","95"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","ImmediateRelativesParents","129"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","ImmediateRelativesSpouses","4"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","Other","D"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","ImmediateRelativesSpouses","205"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","RefugeeandAsyleeAdjustments","D"
"Alameda County, California",-121.7195459,37.6016892,"Singapore","EmploymentPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Singapore","EmploymentPreference2nd","8"
"Alameda County, California",-121.7195459,37.6016892,"Singapore","EmploymentPreference3rdSkilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Singapore","EmploymentPreference5th","D"
"Alameda County, California",-121.7195459,37.6016892,"Singapore","FamilyPreference3rd","D"
"Alameda County, California",-121.7195459,37.6016892,"Singapore","FamilyPreference4th","D"
"Alameda County, California",-121.7195459,37.6016892,"Mongolia","RefugeeandAsyleeAdjustments","4"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","DiversityProgram","27"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","EmploymentPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","EmploymentPreference2nd","12"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","EmploymentPreference3rdSkilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","FamilyPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","FamilyPreference2nd","9"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","ImmediateRelativesParents","23"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","ImmediateRelativesSpouses","10"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","Other","D"
"Alameda County, California",-121.7195459,37.6016892,"Nepal","RefugeeandAsyleeAdjustments","35"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","EmploymentPreference1st","6"
"Alameda County, California",-121.7195459,37.6016892,"Burma","EmploymentPreference3rdSkilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","FamilyPreference4th","5"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","ImmediateRelativesParents","20"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","ImmediateRelativesChildren","4"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","ImmediateRelativesSpouses","51"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","Other","D"
"Alameda County, California",-121.7195459,37.6016892,"Laos","ImmediateRelativesParents","D"
"Alameda County, California",-121.7195459,37.6016892,"Laos","ImmediateRelativesSpouses","D"
"Alameda County, California",-121.7195459,37.6016892,"Macau","EmploymentPreference3rdSkilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Macau","FamilyPreference4th","5"
"Alameda County, California",-121.7195459,37.6016892,"Macau","ImmediateRelativesSpouses","D"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","EmploymentPreference1st","13"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","EmploymentPreference2nd","5"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","EmploymentPreference3rdSkilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","EmploymentPreference5th","4"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","FamilyPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","FamilyPreference3rd","D"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","FamilyPreference4th","D"
"Alameda County, California",-121.7195459,37.6016892,"Malaysia","ImmediateRelativesParents","6"
"Alameda County, California",-121.7195459,37.6016892,"Philippines","ImmediateRelativesChildren","78"
"Alameda County, California",-121.7195459,37.6016892,"Indonesia","FamilyPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Indonesia","FamilyPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","EmploymentPreference2nd","183"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","EmploymentPreference3rdSkilled","235"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","EmploymentPreference5th","54"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","FamilyPreference1st","42"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","FamilyPreference2nd","183"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","FamilyPreference3rd","116"
"Alameda County, California",-121.7195459,37.6016892,"Singapore","ImmediateRelativesParents","D"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","ImmediateRelativesParents","374"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","ImmediateRelativesChildren","31"
"Alameda County, California",-121.7195459,37.6016892,"Singapore","ImmediateRelativesSpouses","D"
"Alameda County, California",-121.7195459,37.6016892,"Bangladesh","EmploymentPreference1st","6"
"Alameda County, California",-121.7195459,37.6016892,"Bangladesh","EmploymentPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"Sri Lanka","FamilyPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"Sri Lanka","FamilyPreference4th","D"
"Alameda County, California",-121.7195459,37.6016892,"Sri Lanka","ImmediateRelativesParents","D"
"Alameda County, California",-121.7195459,37.6016892,"Sri Lanka","ImmediateRelativesSpouses","D"
"Alameda County, California",-121.7195459,37.6016892,"Sri Lanka","RefugeeandAsyleeAdjustments","4"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","DiversityProgram","4"
"Alameda County, California",-121.7195459,37.6016892,"Pakistan","EmploymentPreference2nd","21"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","FamilyPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","EmploymentPreference2nd","70"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","EmploymentPreference3rdSkilled","26"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","EmploymentPreference3rdUnskilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","EmploymentPreference5th","13"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","FamilyPreference2nd","11"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","FamilyPreference3rd","6"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","FamilyPreference4th","29"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","ImmediateRelativesParents","17"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","ImmediateRelativesChildren","D"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","ImmediateRelativesSpouses","48"
"Alameda County, California",-121.7195459,37.6016892,"Thailand","DiversityProgram","D"
"Alameda County, California",-121.7195459,37.6016892,"Thailand","EmploymentPreference2nd","6"
"Alameda County, California",-121.7195459,37.6016892,"Thailand","EmploymentPreference3rdSkilled","D"
"Alameda County, California",-121.7195459,37.6016892,"Thailand","EmploymentPreference4th","D"
"Alameda County, California",-121.7195459,37.6016892,"Thailand","FamilyPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"Cambodia","ImmediateRelativesSpouses","11"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","EmploymentPreference1st","189"
"Alameda County, California",-121.7195459,37.6016892,"Thailand","ImmediateRelativesSpouses","18"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","EmploymentPreference1st","5"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","EmploymentPreference2nd","10"
"Alameda County, California",-121.7195459,37.6016892,"Indonesia","FamilyPreference3rd","5"
"Alameda County, California",-121.7195459,37.6016892,"Indonesia","ImmediateRelativesParents","D"
"Alameda County, California",-121.7195459,37.6016892,"Indonesia","ImmediateRelativesChildren","D"
"Alameda County, California",-121.7195459,37.6016892,"Indonesia","ImmediateRelativesSpouses","5"
"Alameda County, California",-121.7195459,37.6016892,"Japan","EmploymentPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Japan","EmploymentPreference2nd","11"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","FamilyPreference4th","416"
"Alameda County, California",-121.7195459,37.6016892,"Japan","FamilyPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"Japan","ImmediateRelativesParents","D"
"Alameda County, California",-121.7195459,37.6016892,"Japan","ImmediateRelativesChildren","D"
"Alameda County, California",-121.7195459,37.6016892,"Sri Lanka","EmploymentPreference2nd","D"
"Alameda County, California",-121.7195459,37.6016892,"Sri Lanka","EmploymentPreference3rdSkilled","5"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","DiversityProgram","D"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","EmploymentPreference1st","12"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","EmploymentPreference2nd","102"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","EmploymentPreference3rdSkilled","10"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","EmploymentPreference3rdUnskilled","6"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","EmploymentPreference4th","4"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","EmploymentPreference5th","4"
"Alameda County, California",-121.7195459,37.6016892,"Korea, South","FamilyPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","FamilyPreference3rd","9"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","FamilyPreference4th","32"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","ImmediateRelativesParents","6"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","ImmediateRelativesChildren","D"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","ImmediateRelativesSpouses","16"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","RefugeeandAsyleeAdjustments","D"
"Alameda County, California",-121.7195459,37.6016892,"India","EmploymentPreference1st","411"
"Alameda County, California",-121.7195459,37.6016892,"India","EmploymentPreference2nd","142"
"Alameda County, California",-121.7195459,37.6016892,"India","EmploymentPreference3rdSkilled","76"
"Alameda County, California",-121.7195459,37.6016892,"India","EmploymentPreference4th","8"
"Alameda County, California",-121.7195459,37.6016892,"India","EmploymentPreference5th","13"
"Alameda County, California",-121.7195459,37.6016892,"India","FamilyPreference1st","5"
"Alameda County, California",-121.7195459,37.6016892,"India","FamilyPreference2nd","54"
"Alameda County, California",-121.7195459,37.6016892,"India","FamilyPreference3rd","128"
"Alameda County, California",-121.7195459,37.6016892,"India","FamilyPreference4th","183"
"Alameda County, California",-121.7195459,37.6016892,"Thailand","ImmediateRelativesParents","5"
"Alameda County, California",-121.7195459,37.6016892,"Thailand","ImmediateRelativesChildren","D"
"Alameda County, California",-121.7195459,37.6016892,"India","ImmediateRelativesSpouses","220"
"Alameda County, California",-121.7195459,37.6016892,"India","Other","7"
"Alameda County, California",-121.7195459,37.6016892,"India","RefugeeandAsyleeAdjustments","43"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","EmploymentPreference3rdSkilled","4"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","EmploymentPreference5th","7"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","FamilyPreference1st","22"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","FamilyPreference2nd","80"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","FamilyPreference3rd","50"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","FamilyPreference4th","259"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","ImmediateRelativesParents","70"
"Alameda County, California",-121.7195459,37.6016892,"Japan","EmploymentPreference3rdSkilled","12"
"Alameda County, California",-121.7195459,37.6016892,"Japan","FamilyPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Vietnam","Other","D"
"Alameda County, California",-121.7195459,37.6016892,"Japan","ImmediateRelativesSpouses","15"
"Alameda County, California",-121.7195459,37.6016892,"Korea, North","ImmediateRelativesParents","D"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","DiversityProgram","5"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","EmploymentPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","EmploymentPreference2nd","10"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","EmploymentPreference3rdSkilled","5"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","EmploymentPreference5th","D"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","FamilyPreference1st","D"
"Alameda County, California",-121.7195459,37.6016892,"Hong Kong","FamilyPreference2nd","5"
"Alameda County, California",-121.7195459,37.6016892,"Taiwan","EmploymentPreference1st","17"
"Alameda County, California",-121.7195459,37.6016892,"China, People's Republic","ImmediateRelativesSpouses","319"
